trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
101,False,"{'a': 0.18, 'e': 0.8751744744262013}",20,0,-107.90431064787407,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
102,False,"{'a': 0.18, 'e': 0.8727445076457513}",25,8,-41.73537345955935,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
103,False,"{'a': 0.18, 'e': 0.8702927222980654}",20,0,-61.457340310594226,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
104,False,"{'a': 0.18, 'e': 0.8678191796776499}",25,0,-153.95577054589268,"{0: 12, 1: 7, 2: 3, 3: 1, 4: 2}",0
105,False,"{'a': 0.18, 'e': 0.8653239416229412}",20,0,-144.03955708624238,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
106,False,"{'a': 0.18, 'e': 0.862807070514761}",25,0,-170.87309413783143,"{0: 14, 1: 4, 2: 1, 3: 4, 4: 2}",0
107,False,"{'a': 0.18, 'e': 0.8602686292747557}",25,0,-140.4638123896989,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
108,False,"{'a': 0.18, 'e': 0.8577086813638242}",25,10,-50.60424253755164,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
109,False,"{'a': 0.18, 'e': 0.8551272907805307}",20,10,-27.75844198047998,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 0}",1
110,False,"{'a': 0.18, 'e': 0.8525245220595057}",35,0,-136.8788734775049,"{0: 21, 1: 5, 2: 6, 3: 2, 4: 1}",0
111,False,"{'a': 0.18, 'e': 0.8499004402698315}",20,7,-57.483446766015895,"{0: 8, 1: 0, 2: 3, 3: 2, 4: 0}",1
112,False,"{'a': 0.18, 'e': 0.8472551110134161}",30,8,0.6725338968213086,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.18, 'e': 0.8445886004233532}",25,0,-81.16752584124728,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
114,False,"{'a': 0.18, 'e': 0.8419009751622687}",25,12,-47.227134082757416,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 0}",1
115,False,"{'a': 0.18, 'e': 0.8391923024206541}",20,0,-190.9862258833876,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 4}",0
116,False,"{'a': 0.18, 'e': 0.8364626499151869}",25,0,-180.7741637225982,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 4}",0
117,False,"{'a': 0.18, 'e': 0.8337120858870376}",20,0,-104.40570137669977,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
118,False,"{'a': 0.18, 'e': 0.8309406791001634}",20,0,-81.82719444582781,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
119,False,"{'a': 0.18, 'e': 0.8281484988395901}",20,0,-115.9691180577585,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
120,False,"{'a': 0.18, 'e': 0.8253356149096783}",25,0,-75.32650844659577,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
121,False,"{'a': 0.18, 'e': 0.82250209763238}",25,1,-149.3586383696956,"{0: 13, 1: 5, 2: 2, 3: 2, 4: 2}",1
122,False,"{'a': 0.18, 'e': 0.8196480178454795}",20,14,1.0712075473218392,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.18, 'e': 0.8167734469008229}",20,0,-78.55333946179142,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
124,False,"{'a': 0.18, 'e': 0.8138784566625339}",25,0,-65.82214384012848,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
125,False,"{'a': 0.18, 'e': 0.8109631195052179}",25,0,-153.35291149898072,"{0: 12, 1: 1, 2: 10, 3: 1, 4: 1}",0
126,False,"{'a': 0.18, 'e': 0.8080275083121519}",25,0,-133.66256310067772,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
127,False,"{'a': 0.18, 'e': 0.8050716964734628}",25,12,-40.58303591125064,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 0}",1
128,False,"{'a': 0.18, 'e': 0.8020957578842927}",20,0,-57.480553421685364,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
129,False,"{'a': 0.18, 'e': 0.7990997669429512}",25,2,-50.027967663588,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 0}",1
130,False,"{'a': 0.18, 'e': 0.7960837985490559}",20,2,-150.7434379471476,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 3}",1
131,False,"{'a': 0.18, 'e': 0.7930479281016595}",20,0,-55.574549475023616,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
132,False,"{'a': 0.18, 'e': 0.7899922314973651}",25,0,-104.98199149390824,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
133,False,"{'a': 0.18, 'e': 0.7869167851284287}",20,0,-27.46149345271679,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
134,False,"{'a': 0.18, 'e': 0.7838216658808492}",25,1,-64.10478243886442,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 1}",1
135,False,"{'a': 0.18, 'e': 0.7807069511324468}",25,0,-47.49040242624249,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
136,False,"{'a': 0.18, 'e': 0.7775727187509279}",20,0,-105.08595361754332,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
137,False,"{'a': 0.18, 'e': 0.7744190470919388}",25,3,-50.79824591511176,"{0: 15, 1: 3, 2: 3, 3: 1, 4: 0}",1
138,False,"{'a': 0.18, 'e': 0.7712460149971065}",35,6,-111.69720556122748,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 1}",1
139,False,"{'a': 0.18, 'e': 0.7680537017920686}",30,14,-83.91224603329782,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 2}",1
140,False,"{'a': 0.18, 'e': 0.7648421872844884}",25,15,-8.621242669105634,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.18, 'e': 0.7616115517620617}",25,0,-128.2821236639568,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
142,False,"{'a': 0.18, 'e': 0.7583618759905082}",25,0,-35.48752180995573,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
143,False,"{'a': 0.18, 'e': 0.7550932412115529}",20,0,-94.14076023769195,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
144,False,"{'a': 0.18, 'e': 0.751805729140895}",30,21,-16.81096149401704,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.18, 'e': 0.7484994219661651}",35,6,-108.61702567262759,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 1}",1
146,False,"{'a': 0.18, 'e': 0.7451744023448704}",25,0,-64.89760124249521,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
147,False,"{'a': 0.18, 'e': 0.7418307534023283}",20,7,6.224744400424226,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.18, 'e': 0.7384685587295879}",25,9,-43.95412431040755,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
149,False,"{'a': 0.18, 'e': 0.7350879023813413}",30,0,-137.84083409472277,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
150,False,"{'a': 0.18, 'e': 0.7316888688738209}",20,0,20.25010693990958,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.18, 'e': 0.7282715431826874}",25,0,-53.47905712560852,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
152,False,"{'a': 0.18, 'e': 0.7248360107409052}",20,0,-17.330856959965725,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
153,False,"{'a': 0.18, 'e': 0.7213823574366063}",30,12,-14.40106592847726,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
154,False,"{'a': 0.18, 'e': 0.7179106696109434}",20,0,-76.45990710259979,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
155,False,"{'a': 0.18, 'e': 0.7144210340559314}",30,2,-59.73804935768878,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 0}",1
156,False,"{'a': 0.18, 'e': 0.7109135380122773}",20,0,-49.72160827509065,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",1
157,False,"{'a': 0.18, 'e': 0.7073882691671998}",20,0,-59.636606801343376,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
158,False,"{'a': 0.18, 'e': 0.7038453156522362}",20,0,-54.55871623229378,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
159,False,"{'a': 0.18, 'e': 0.7002847660410397}",30,12,-30.457368408203774,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 1}",1
160,False,"{'a': 0.18, 'e': 0.6967067093471655}",25,11,11.830109517554682,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'a': 0.18, 'e': 0.6931112350218442}",25,4,-1.9276374195691846,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.18, 'e': 0.6894984329517471}",30,0,-131.42682936748557,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 2}",0
163,False,"{'a': 0.18, 'e': 0.6858683934567373}",30,0,-169.75366931870136,"{0: 19, 1: 4, 2: 3, 3: 1, 4: 3}",1
164,False,"{'a': 0.18, 'e': 0.6822212072876136}",20,0,-102.49797362083733,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
165,False,"{'a': 0.18, 'e': 0.6785569656238399}",35,18,-70.7104553485639,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
166,False,"{'a': 0.18, 'e': 0.6748757600712672}",20,0,-159.3774427348729,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
167,False,"{'a': 0.18, 'e': 0.6711776826598423}",30,15,-61.99146396756548,"{0: 10, 1: 0, 2: 2, 3: 3, 4: 0}",1
168,False,"{'a': 0.18, 'e': 0.6674628258413082}",25,10,-11.380355473842458,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
169,False,"{'a': 0.18, 'e': 0.6637312824868916}",25,6,-33.08664058819092,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
170,False,"{'a': 0.18, 'e': 0.6599831458849822}",20,8,-11.214678462168937,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.18, 'e': 0.6562185097387998}",20,0,-54.60438180876732,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
172,False,"{'a': 0.18, 'e': 0.6524374681640519}",25,6,-88.8098632613682,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 2}",1
173,False,"{'a': 0.18, 'e': 0.648640115686581}",35,0,-92.25636307105094,"{0: 27, 1: 2, 2: 4, 3: 0, 4: 2}",0
174,False,"{'a': 0.18, 'e': 0.6448265472400012}",20,6,-61.7256813124405,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
175,False,"{'a': 0.18, 'e': 0.6409968581633252}",30,0,-107.2934622827963,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
176,False,"{'a': 0.18, 'e': 0.6371511441985802}",20,0,-10.886836164333262,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
177,False,"{'a': 0.18, 'e': 0.6332895014884152}",30,0,-100.68956210567784,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
178,False,"{'a': 0.18, 'e': 0.6294120265736969}",20,0,-41.919487464377724,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
179,False,"{'a': 0.18, 'e': 0.6255188163910961}",20,8,-8.587023446569054,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.18, 'e': 0.6216099682706645}",20,2,-15.76088811223909,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
181,False,"{'a': 0.18, 'e': 0.6176855799334017}",25,0,-34.495252042365514,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
182,False,"{'a': 0.18, 'e': 0.6137457494888116}",20,6,-30.559763322379595,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
