trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
111,False,"{'a': 0.18, 'e': 0.3277227574378037}",20,0,20.953271029868056,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
112,False,"{'a': 0.18, 'e': 0.3244455298634257}",25,0,12.729855369662477,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
113,False,"{'a': 0.18, 'e': 0.3212010745647914}",25,11,-22.96060929725288,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
114,False,"{'a': 0.18, 'e': 0.3179890638191435}",20,0,-6.280143117676454,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
115,False,"{'a': 0.18, 'e': 0.31480917318095203}",20,0,-16.998349260312906,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
116,False,"{'a': 0.18, 'e': 0.3116610814491425}",20,0,4.152949001989396,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
117,False,"{'a': 0.18, 'e': 0.30854447063465107}",20,8,8.10184312968942,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.18, 'e': 0.3054590259283046}",25,6,-5.649740016253297,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
119,False,"{'a': 0.18, 'e': 0.30240443566902153}",25,12,21.28034171631436,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.18, 'e': 0.2993803913123313}",25,13,4.1483530565416995,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.18, 'e': 0.296386587399208}",30,5,14.63035889132197,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.18, 'e': 0.2934227215252159}",20,0,30.567849293933094,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.18, 'e': 0.29048849430996376}",20,3,10.63244153100287,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.18, 'e': 0.2875836093668641}",25,0,-64.74086117102645,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
125,False,"{'a': 0.18, 'e': 0.28470777327319546}",25,0,-52.22270115121897,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
126,False,"{'a': 0.18, 'e': 0.2818606955404635}",25,3,30.59852410197164,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.18, 'e': 0.27904208858505886}",25,12,25.153935351269965,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.18, 'e': 0.2762516676992083}",25,13,8.518249987181072,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.18, 'e': 0.2734891510222162}",25,0,-8.371024753888845,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
130,False,"{'a': 0.18, 'e': 0.27075425951199406}",25,11,14.60372899351008,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.18, 'e': 0.2680467169168741}",25,7,-7.369779515632343,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.18, 'e': 0.26536624974770534}",25,3,22.347221713587167,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.18, 'e': 0.2627125872502283}",25,0,-88.43516418131992,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
134,False,"{'a': 0.18, 'e': 0.26008546137772603}",20,2,-55.710767908805586,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
135,False,"{'a': 0.18, 'e': 0.25748460676394874}",35,19,26.148791752614205,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.18, 'e': 0.2549097606963093}",30,7,18.54511809655128,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.18, 'e': 0.2523606630893462}",30,9,23.064171833225224,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.18, 'e': 0.2498370564584527}",25,10,24.109669962745926,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.18, 'e': 0.24733868589386818}",20,2,-30.48958762730462,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
140,False,"{'a': 0.18, 'e': 0.24486529903492948}",25,5,29.452555762706208,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.18, 'e': 0.2424166460445802}",20,1,-24.034893068778864,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.18, 'e': 0.2399924795841344}",35,5,-2.9226558772780846,"{0: 25, 1: 1, 2: 4, 3: 0, 4: 0}",1
143,False,"{'a': 0.18, 'e': 0.23759255478829303}",20,9,-26.47895634970093,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
144,False,"{'a': 0.18, 'e': 0.23521662924041012}",20,13,-50.71011361365892,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 1}",1
145,False,"{'a': 0.18, 'e': 0.232864462948006}",25,17,-27.938706906175806,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
146,False,"{'a': 0.18, 'e': 0.23053581831852593}",35,16,35.79170479384565,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.18, 'e': 0.22823046013534068}",20,0,22.563546128491055,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.18, 'e': 0.22594815553398728}",20,15,10.534618949213414,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.18, 'e': 0.2236886739786474}",25,0,34.067685253454954,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.18, 'e': 0.22145178723886091}",20,0,-15.998250512302814,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
151,False,"{'a': 0.18, 'e': 0.2192372693664723}",30,0,24.675438090638043,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
152,False,"{'a': 0.18, 'e': 0.21704489667280757}",30,0,-9.285326100083738,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
153,False,"{'a': 0.18, 'e': 0.2148744477060795}",25,9,-47.426443031052,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
154,False,"{'a': 0.18, 'e': 0.2127257032290187}",30,2,24.25250622061793,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.18, 'e': 0.21059844619672852}",25,8,-3.8450886940454527,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
156,False,"{'a': 0.18, 'e': 0.20849246173476124}",20,8,22.442516017340946,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.18, 'e': 0.2064075371174136}",20,0,-46.40652662406649,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
158,False,"{'a': 0.18, 'e': 0.2043434617462395}",20,13,15.303291716099732,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.18, 'e': 0.2023000271287771}",20,14,0.25517794750146017,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.18, 'e': 0.2002770268574893}",25,0,13.828611029808465,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
161,False,"{'a': 0.18, 'e': 0.19827425658891443}",30,0,-41.11162975906213,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
162,False,"{'a': 0.18, 'e': 0.19629151402302528}",20,6,22.736592682355663,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.18, 'e': 0.19432859888279502}",25,5,-46.24843215152244,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",1
164,False,"{'a': 0.18, 'e': 0.19238531289396707}",20,0,-25.976212358622305,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
165,False,"{'a': 0.18, 'e': 0.1904614597650274}",20,0,6.1775776202882655,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
166,False,"{'a': 0.18, 'e': 0.1885568451673771}",20,8,17.7014023620658,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.18, 'e': 0.18667127671570335}",25,15,-37.389436501630406,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
168,False,"{'a': 0.18, 'e': 0.1848045639485463}",20,11,16.953952752507647,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.18, 'e': 0.18295651830906084}",25,0,-56.50311157881767,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
170,False,"{'a': 0.18, 'e': 0.18112695312597024}",25,18,14.329387453117597,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.18, 'e': 0.17931568359471053}",25,0,-2.3310064131296215,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
172,False,"{'a': 0.18, 'e': 0.17752252675876343}",25,2,-41.06729089376657,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
173,False,"{'a': 0.18, 'e': 0.1757473014911758}",20,12,15.113557233068834,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.18, 'e': 0.173989828476264}",25,15,16.386622733573628,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.18, 'e': 0.1722499301915014}",30,22,14.39972712137556,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.18, 'e': 0.17052743088958636}",20,8,0.33880464833118973,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
177,False,"{'a': 0.18, 'e': 0.1688221565806905}",30,7,-61.19139728514855,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 1}",1
178,False,"{'a': 0.18, 'e': 0.1671339350148836}",30,13,-7.8454983521400035,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
179,False,"{'a': 0.18, 'e': 0.16546259566473476}",20,0,16.49846718195611,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
180,False,"{'a': 0.18, 'e': 0.16380796970808742}",25,1,3.495056239374766,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.18, 'e': 0.16216989001100654}",25,0,8.94403997856416,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
182,False,"{'a': 0.18, 'e': 0.16054819111089647}",30,0,40.08401651866119,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
183,False,"{'a': 0.18, 'e': 0.1589427091997875}",25,2,30.118381992307974,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
